Breed,Austin_breedname,AKC_group,size_cat
Miniature Schnauzer,Miniature Schnauzer,terrier,small
Neapolitan Mastiff,Neapolitan Mastiff,working,large
Newfoundland,Newfoundland,working,large
Norfolk Terrier,Norfolk Terrier,terrier,small
Norwegian Buhund,Norwegian Buhund,herding,medium
Norwegian Elkhound,Norwegian Elkhound,hound,medium
Norwegian Lundehund,Norwegian Lundehund,non-sporting,small
Norwich Terrier,Norwich Terrier,terrier,small
Nova Scotia Duck Tolling Retriever,Nova Scotia Duck Tolling Retriever,sporting,medium
Nova Scotia Duck Tolling Retriever,Nova Scotia Duck Tolling,sporting,medium
Old English Sheepdog,Old English Sheepdog,herding,medium
Otterhound,Otterhound,hound,large
Papillon,Papillon,toy,small
Parson Russell Terrier,Parson Russell Terr,terrier,small
Parson Russell Terrier,Parson Russell Terrier,terrier,small
Pekingese,Pekingese,toy,small
Pembroke Welsh Corgi,Pembroke Welsh Corgi,herding,small
Petit Basset Griffon Vendeen,Pbgv,hound,small
Pharaoh Hound,Pharaoh Hound,hound,medium
Pit Bull,Pit Bull,pit bull,large
Plott,Plott Hound,hound,medium
Pointer,Pointer,sporting,large
Pointer,English Pointer,sporting,large
Polish Lowland Sheepdog,Polish Lowland Sheepdog,herding,medium
Pomeranian,Pomeranian,toy,small
Poodle,Standard Poodle,non-sporting,medium
Poodle (Toy),Toy Poodle,toy,small
Poodle (Toy),Miniature Poodle,toy,small
Portuguese Water Dog,Port Water Dog,working,medium
Pug,Pug,toy,medium
Puli,Puli,herding,medium
Presa Canario,Presa Canario,working,large
Pyrenean Shepherd,Pyrenean Shepherd,herding,medium
Rat Terrier,Rat Terrier,terrier,small
Redbone Coonhound,Redbone Hound,hound,large
Rhodesian Ridgeback,Rhod Ridgeback,hound,large
Rottweiler,Rottweiler,working,large
Russell Terrier,Jack Russell Terrier,terrier,small
Saint Bernard,St. Bernard Rough Coat,working,large
Saint Bernard,St. Bernard Smooth Coat,working,large
Saint Bernard,St. Bernard Smooth,working,large
Saluki,Saluki,hound,medium
Samoyed,Samoyed,working,medium
Schipperke,Schipperke,non-sporting,small
Scottish Deerhound,Scottish Deerhound,hound,large
Scottish Terrier,Scottish Terrier,terrier,small
Sealyham Terrier,Sealyham Terr,terrier,small
Shetland Sheepdog,Shetland Sheepdog,herding,small
Shiba Inu,Shiba Inu,non-sporting,small
Shih Tzu,Shih Tzu,toy,small
Siberian Husky,Siberian Husky,working,medium
Siberian Husky,Alaskan Husky,working,medium
